Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
20 Microns,533022,20MICRONS,Minerals & Mining,231.41,15.53,714.51,1.9,17.39,8.65,13.08,25.7,816.56,-27.2,50.88,30.28,16.53,0.88,40.35,-43.53,9.42,20.04,4.7,10.26,39.46,55.63,14.18,11.52,23,21.46,23,21.46,18.11,0.21,77.63,44.13,14.27,12.03,9.95,14.43,122.96,119.17,207.13,200.67,68.21,34.21,284.34,164.82,155.85,43.03,96.49,149.43,236.8,-104.04,-136.34,71.27,60.78,3.14,2.89,0
21st Cent. Mgmt.,526921,21STCENMGM,Capital Markets,52.57,28.36,57.07,1.08,-9.34,1.94,,10.72,55.2,-60.55,38.14,24.56,23.06,7.23,0.76,5.25,13.32,19.42,3.17,1.83,198.15,93.87,-24.3,,-5.58,18.98,-5.58,18.98,10.9,3.14,10.86,9.22,9.73,21.19,12.25,-103.49,1,8,0.77,0.94,4.24,16.55,0.64,0,25.75,-2.06,24.93,-2.09,24.91,3.08,-27.4,29.03,22.33,90.76,,0
360 ONE,542772,360ONE,Capital Markets,1037.6,20.01,19768.23,5.77,27.24,33.11,39.76,-17.42,41990.48,-4.79,33.3,34.2,21.9,12.51,1091.58,-2457.97,6.11,14.24,4.51,32.54,-59.02,46.22,21.15,19.36,23.23,39.89,19.1,36.59,,-16.94,1449,698.44,27.17,23.58,12.29,25.24,5807.58,8838.1,815.99,608.16,82.79,1103.02,1281.35,11160.2,937.7,-4424.64,-3074.78,-4203.49,-2812.03,-1851.65,1148.63,85.22,80.43,,,0
3B Blackbio,532067,,Healthcare Services,1472.1,29.55,295.72,4.71,57.14,13.07,25.76,29.2,1263.45,1.78,33.42,59.4,16.83,12.73,68.83,42.46,14.71,21.9,9.64,13.85,208.6,172.34,6.15,27.29,13.96,44.02,8.99,40.22,39.68,2.85,67.9,50.33,13.99,42.98,41.64,19.86,2.53,3.52,6.61,3.87,64.64,31.17,7.22,0.31,113.6,87.16,218.07,90.59,225.44,-39.19,-137.89,203.81,175.88,0.19,0.23,0
3B Films,544412,,Industrial Products,36.29,7.77,162.78,,2.38,14.48,17.8,6.04,89.9,,,,11.65,1.05,0.1,9.25,2.35,7.99,2.08,14.48,63.11,51.82,8.25,7.85,158.65,43.5,158.65,43.5,,,8.51,2.02,23.47,18.14,,6.95,99.34,48.04,83.84,46.13,10.2,7.92,82.02,102.48,18.31,7.71,-18.75,16.69,32.69,-8.98,-51.44,,,1.95,2.86,22.54
3C IT Solutions,544190,,IT - Services,22.53,,15.57,1.07,-0.1,20.69,,-4.54,13.56,-41.17,,,7.51,0.37,0.75,-3.32,1.25,14.7,5.95,20.69,82.96,80.04,-18.25,,,,,,,,2.16,0.63,-25.9,,,-7.32,10.4,,0.24,,12.28,,1.12,0.56,12.05,3.72,-1.15,6.32,1.56,-1.33,-1.38,,,5.03,,0
3i Infotech,532628,3IINFOLTD,IT - Software,23.21,-2.83,572.82,1.28,2.8,8.9,8.29,13.93,393.7,-29.75,43.23,-20.73,-3.98,0.55,59.65,29.61,-2.04,-0.76,3.43,18.39,-2.21,63.09,2.34,0.78,37.94,-18.11,37.83,28.54,18.92,0,-13.76,-15.52,85.62,-4.08,-17.31,7.7,118.64,902.49,416.53,850.75,267.01,210.19,225.37,63.51,40.25,78.14,97.33,197.11,226.1,-177.49,621.44,41.9,4.66,,,0
3M India,523395,3MINDIA,Diversified,30385,17.54,3014.59,18.54,440.84,75.06,68.96,96.69,34243.9,-13.43,9.44,10.08,23.55,7.45,937.38,300.22,15.87,33.78,22,76.44,30.08,61.44,13.03,9.96,21.57,16.8,21.57,16.8,6.29,0,540.18,377.62,26.49,17.1,6.99,12.21,24.44,41.77,290.79,286.65,1511.84,1155.53,417.17,99.54,1397.71,1277.77,1817.41,1422.78,2068.48,32.9,-26.2,2209.29,1972.03,4.36,3.58,0
3P Land Hold.,516092,3PLAND,Finance,45.03,1.78,153.49,0.58,1.16,30.61,38.97,69.28,81.05,2.57,45.1,35.63,2.03,18.05,0.18,1.19,1.99,2.77,2.21,30.51,-17.58,0,27.63,19.3,21.84,1.83,21.84,1.83,63.86,0,1.77,1.29,18.66,9.9,9.48,25.56,0,0,0.65,0.86,0.08,0.36,1.64,0,-0.22,1.32,1.23,1.3,1.21,-1.21,-1.21,37.08,25.9,,,0
52 Weeks Enter.,531925,,Food Products,1.46,-11.18,19.89,0.32,-0.04,32.2,,-42.46,5.09,-7.59,19.46,-11.41,-0.13,,0.01,-0.12,-0.1,-0.1,2.55,35.3,0,0,,,24.6,10.2,24.6,10.2,,0,-1.66,-1.83,23.59,8.13,,-100,3.61,11.45,0,0,15.32,15.43,0,3.73,17.39,-0.13,6.29,-0.13,6.29,0,0,4.56,5.09,0,1.91,
